created_at,anomaly_score,ph,TDS,water_level,DHT_temp,water_temp
2028-12-17 00:00:00,0.6400479510330225,5.63,1320.37,1.0,23.7,20.85
2028-12-18 00:00:00,0.8686889663846697,5.61,1322.39,1.0,23.7,24.1
2028-12-18 01:00:00,0.5716920811097602,5.63,1322.57,1.0,23.7,19.12
2028-12-18 03:00:00,0.585181245431062,5.61,1321.9,1.0,23.6,18.53
2028-12-19 00:00:00,0.6821611377912599,5.62,1323.58,1.0,23.7,18.12
2028-12-19 02:00:00,0.5603325836479425,5.62,1323.64,1.0,23.7,18.3
2028-12-20 00:00:00,0.6225346546131477,5.51,1325.4,1.0,23.7,21.88
2028-12-21 00:00:00,0.6831874981465744,5.53,1326.28,1.0,23.6,19.66
2028-12-22 00:00:00,0.6160217631377011,5.55,1328.51,1.0,23.6,21.01
2028-12-23 00:00:00,0.6439343187956922,5.52,1329.4,1.0,23.6,21.85
2028-12-24 00:00:00,0.6362580206635992,5.53,1330.8,1.0,23.6,19.98
2028-12-25 00:00:00,0.817894755509333,5.53,1332.92,1.0,23.6,18.56
2028-12-26 00:00:00,0.6038995089553565,5.53,1334.22,1.0,23.6,19.26
2028-12-27 00:00:00,0.625155397903845,5.53,1335.31,1.0,23.6,23.64
2028-12-28 00:00:00,0.5945621773664805,5.63,1336.71,1.0,23.6,18.64
2028-12-29 00:00:00,0.5845020558036408,5.53,1338.32,1.0,23.6,23.48
2028-12-30 00:00:00,0.6210578426515625,5.57,1339.28,1.0,23.6,18.22
2028-12-31 00:00:00,0.66035007693855,5.52,1341.52,1.0,23.6,23.31
2029-01-01 00:00:00,0.871008906756534,5.55,1343.33,1.0,23.6,20.36
2029-01-01 01:00:00,0.6087195589473837,5.56,1343.41,1.0,23.6,18.83
2029-01-01 02:00:00,0.5566357118700958,5.63,1342.97,1.0,23.6,21.87
2029-01-01 03:00:00,0.5688447156732271,5.6,1342.43,1.0,23.6,21.08
2029-01-02 00:00:00,0.6670240264541903,5.53,1344.63,1.0,23.6,19.73
2029-01-03 00:00:00,0.5797347225817034,5.6,1345.41,1.0,23.6,22.03
2029-01-04 00:00:00,0.6189946672050518,5.57,1347.85,1.0,23.6,18.4
2029-01-05 00:00:00,0.6046806428239515,5.55,1349.14,1.0,23.6,22.3
2029-01-06 00:00:00,0.6059084332426532,5.57,1350.75,1.0,23.6,20.82
2029-01-07 00:00:00,0.7363283811814451,5.58,1352.05,1.0,23.5,21.79
2029-01-07 01:00:00,0.5696786191788507,5.62,1351.3,1.0,23.6,21.84
2029-01-07 02:00:00,0.550270155963175,5.58,1352.21,1.0,23.6,20.75
2029-01-08 00:00:00,0.7651342806537713,5.61,1352.83,1.0,23.5,22.57
2029-01-08 01:00:00,0.6291691730766198,5.54,1352.91,1.0,23.6,18.6
2029-01-09 00:00:00,0.5960021867079759,5.57,1355.06,1.0,23.5,20.68
2029-01-10 00:00:00,0.6305018105251037,5.61,1356.36,1.0,23.5,20.31
2029-01-11 00:00:00,0.6412292846837372,5.52,1358.07,1.0,23.5,19.78
2029-01-12 00:00:00,0.6389284638101483,5.57,1359.47,1.0,23.5,19.28
2029-01-13 00:00:00,0.6319970576428074,5.58,1361.18,1.0,23.5,19.68
2029-01-14 00:00:00,0.6226709325299624,5.56,1361.75,1.0,23.5,21.41
